serie_folder,original,section,new_name,shot_date,size_px,bytes
serie a mettre en avant ,DSC06403.JPG,featured,featured-01.webp,2024-12-10 19:27,3648x4319,4619332
serie a mettre en avant ,DSC06422.JPG,featured,featured-02.webp,2024-12-10 19:49,3648x4864,5895179
serie a mettre en avant ,DJI_20250508130920_0113_D.JPG,featured,featured-03.webp,2025-05-08 13:09,2268x4032,5083946
serie a mettre en avant ,DSC09373.JPG,featured,featured-04.webp,2025-11-27 14:46,4864x3648,7701666
serie a mettre en avant ,DSC00637.JPG,featured,featured-05.webp,2026-02-21 06:51,3648x4864,7274102
serie a mettre en avant ,IMG_6596.JPG,featured,featured-06.webp,2026-02-22 16:50,3024x4032,5283156
serie a mettre en avant ,DSC05216.JPG,featured,featured-07.webp,2026-02-25 17:17,3648x4864,7744076
serie a mettre en avant ,DSC05219.JPG,featured,featured-08.webp,2026-02-25 17:26,3648x4864,9984910
serie a mettre en avant ,IMG_6803.JPG,featured,featured-09.webp,2026-02-25 18:10,3024x4032,5382960
serie a mettre en avant ,IMG_5358.JPG,featured,featured-10.webp,2026-06-14 16:51,3024x4032,5038919
serie a mettre en avant ,IMG_7680.JPG,featured,featured-11.webp,2026-07-29 13:55,3024x4032,5807758
serie a mettre en avant ,IMG_7683.JPG,featured,featured-12.webp,2026-07-29 13:56,3024x4032,5979333
serie aesthetic pastel,IMG_3262.JPG,gallery,pastel-01.webp,2025-08-20 20:11,4284x5712,9463194
serie aesthetic pastel,IMG_3263.JPG,gallery,pastel-02.webp,2025-08-20 20:22,4209x5612,10461990
serie aesthetic pastel,IMG_3559.JPG,gallery,pastel-03.webp,2025-08-30 12:01,3024x4032,4767882
serie aesthetic pastel,IMG_3805.JPG,gallery,pastel-04.webp,2025-09-05 17:57,4284x5712,10370361
serie baseball ,DSC07494.JPG,gallery,baseball-01.webp,2025-08-18 17:32,3648x4864,6359372
serie baseball ,DSC07500.JPG,gallery,baseball-02.webp,2025-08-18 17:45,3648x4864,7383893
serie baseball ,DSC07501.JPG,gallery,baseball-03.webp,2025-08-18 17:46,4864x3648,6663601
serie baseball ,DSC07507.JPG,gallery,baseball-04.webp,2025-08-18 18:01,3648x4864,6178555
serie baseball ,DSC07535.JPG,gallery,baseball-05.webp,2025-08-18 18:22,3648x4864,6717280
serie city boston,IMG_5078_jpg.JPG,gallery,city-boston-01.webp,2025-10-17 17:33,3024x4032,4953578
serie city boston,DSC07754.JPG,gallery,city-boston-02.webp,2025-10-18 10:08,3648x4864,7215498
serie city boston,DSC07803.JPG,gallery,city-boston-03.webp,2025-10-18 12:35,3648x4864,6745642
serie city boston,DSC07804.JPG,gallery,city-boston-04.webp,2025-10-18 12:36,3648x4864,6829880
serie city boston,IMG_5229.JPG,gallery,city-boston-05.webp,2025-10-18 18:12,3024x4032,4514782
serie city boston,IMG_6952_jpg.JPG,gallery,city-boston-06.webp,2025-10-27 16:49,3024x4032,4544426
serie city boston,IMG_7049.JPG,gallery,city-boston-07.webp,2025-11-01 17:16,3024x4032,4103805
serie city boston,DSC09261.JPG,gallery,city-boston-08.webp,2025-11-24 16:08,3503x4670,5612877
serie city boston,B9FFFFBE-BF52-4ECF-84D4-131268AB8B7A.JPG,gallery,city-boston-09.webp,2026-04-13 23:34,,415991
serie city chicago,DSC06897.JPG,gallery,city-chicago-01.webp,2025-07-02 02:28,3233x4755,7424451
serie city chicago,DSC07005.JPG,gallery,city-chicago-02.webp,2025-08-14 01:26,3648x4864,7774323
serie city chicago,DSC07006.JPG,gallery,city-chicago-03.webp,2025-08-14 01:26,3648x4864,7233614
serie city chicago,DSC07175.JPG,gallery,city-chicago-04.webp,2025-08-15 03:28,3648x4864,6672782
serie city chicago,DSC07177.JPG,gallery,city-chicago-05.webp,2025-08-15 03:28,3648x4864,6167042
serie city chicago,DSC07361.JPG,gallery,city-chicago-06.webp,2025-08-15 14:33,3648x4864,6311665
serie city chicago,DSC07433.JPG,gallery,city-chicago-07.webp,2025-08-15 16:28,3490x4864,5300296
serie city chicago,DSC07447.JPG,gallery,city-chicago-08.webp,2025-08-15 17:02,3648x4864,6100096
serie city divers,IMG_3270.JPG,gallery,city-misc-01.webp,2021-11-11 16:25,3024x4032,4015242
serie city divers,IMG_5601.JPG,gallery,city-misc-02.webp,2022-10-21 18:27,2827x4032,5911250
serie city divers,DSC04164.JPG,gallery,city-misc-03.webp,2022-12-04 14:42,3648x5472,7348814
serie city divers,DSC06630.JPG,gallery,city-misc-04.webp,2025-02-21 18:04,3648x4864,7890252
serie city divers,IMG_1399.JPG,gallery,city-misc-05.webp,2025-08-01 19:33,3024x4032,4407909
serie city divers,IMG_1625.JPG,gallery,city-misc-06.webp,2025-08-03 11:54,3024x4032,6005967
serie city new york,IMG_8406.JPG,gallery,city-new-york-01.webp,2025-11-15 09:15,2897x3862,4020165
serie city new york,DSC08711.JPG,gallery,city-new-york-02.webp,2025-11-15 12:28,3648x4864,6835897
serie city new york,DSC08775.JPG,gallery,city-new-york-03.webp,2025-11-15 16:49,3648x4864,7156427
serie city new york,DSC08776.JPG,gallery,city-new-york-04.webp,2025-11-15 16:56,3521x4694,5847897
serie city new york,DSC08782.JPG,gallery,city-new-york-05.webp,2025-11-15 16:59,3598x4797,5756972
serie city new york,DSC08797.JPG,gallery,city-new-york-06.webp,2025-11-15 17:16,3648x4864,5631626
serie city new york,IMG_8585.JPG,gallery,city-new-york-07.webp,2025-11-15 18:24,3024x4032,5029847
serie city new york,IMG_8586.JPG,gallery,city-new-york-08.webp,2025-11-15 18:24,3024x4032,5916398
serie city new york,IMG_8590_jpg.JPG,gallery,city-new-york-09.webp,2025-11-15 18:33,3718x4956,6964200
serie city new york,DSC08835.JPG,gallery,city-new-york-10.webp,2025-11-16 15:46,3648x4864,7917870
serie city new york,DSC08939.JPG,gallery,city-new-york-11.webp,2025-11-17 12:22,3648x4864,6038652
serie city new york,DSC08970.JPG,gallery,city-new-york-12.webp,2025-11-17 17:17,3521x4694,6323891
serie city new york,DSC08971.JPG,gallery,city-new-york-13.webp,2025-11-17 17:17,3542x4723,6500260
serie city new york,DSC00782.JPG,gallery,city-new-york-14.webp,2026-04-04 08:29,3648x4864,6764132
serie city new york,DSC00852.JPG,gallery,city-new-york-15.webp,2026-04-05 12:27,3648x4864,6869097
serie city vietnam,IMG_0368.JPG,gallery,city-vietnam-01.webp,2026-09-05 10:46,3024x4032,5737799
serie city vietnam,IMG_0370.JPG,gallery,city-vietnam-02.webp,2026-09-05 10:46,3024x4032,6084571
serie city vietnam,IMG_0411.JPG,gallery,city-vietnam-03.webp,2026-09-05 11:55,4284x5712,12492060
serie city vietnam,IMG_0425.JPG,gallery,city-vietnam-04.webp,2026-09-05 12:06,4284x5712,10252359
serie landscapes canaries,DSC02453.JPG,gallery,landscapes-canaries-01.webp,2021-12-17 18:20,5472x3648,5366666
serie landscapes canaries,DSC02479.JPG,gallery,landscapes-canaries-02.webp,2021-12-17 19:38,5092x3395,3826084
serie landscapes canaries,DSC00335.JPG,gallery,landscapes-canaries-03.webp,2021-12-18 18:07,3648x5472,3739211
serie landscapes canaries,DSC00521.JPG,gallery,landscapes-canaries-04.webp,2021-12-20 12:23,3648x5472,10647444
serie landscapes canaries,Photo_6553906_DJI_306_jpg_5878593_0_20211220164354_photo_original.jpg.JPG,gallery,landscapes-canaries-05.webp,2021-12-20 16:43,4000x3000,8376054
serie landscapes canaries,DJI_0291.00_14_10_19.Still012.JPG,gallery,landscapes-canaries-06.webp,2021-12-29 23:47,3840x2160,4113950
serie landscapes canaries,DJI_0291.00_14_46_15.Still013.JPG,gallery,landscapes-canaries-07.webp,2021-12-29 23:47,3840x2160,5238050
serie landscapes canaries,DJI_0291.00_20_33_06.Still017.JPG,gallery,landscapes-canaries-08.webp,2021-12-30 00:05,3840x2160,4193586
serie landscapes costa rica,IMG_0466.JPG,gallery,landscapes-costa-rica-01.webp,2025-11-26 16:49,3024x4032,4901127
serie landscapes costa rica,IMG_0468.JPG,gallery,landscapes-costa-rica-02.webp,2025-11-26 16:49,3024x4032,5573998
serie landscapes costa rica,DSC09373.JPG,gallery,landscapes-costa-rica-03.webp,2025-11-27 14:46,4864x3648,7701666
serie landscapes costa rica,DSC09423.JPG,gallery,landscapes-costa-rica-04.webp,2025-11-27 15:11,3648x4864,6213383
serie landscapes fall us,IMG_0546.JPG,gallery,landscapes-fall-us-01.webp,2025-10-21 17:27,3024x4032,4831708
serie landscapes fall us,DSC08044.JPG,gallery,landscapes-fall-us-02.webp,2025-10-21 17:35,3648x4864,5193141
serie landscapes fall us,DSC08174.JPG,gallery,landscapes-fall-us-03.webp,2025-10-23 11:35,3648x4864,6079949
serie landscapes fall us,DSC08179.JPG,gallery,landscapes-fall-us-04.webp,2025-10-23 11:36,3648x4864,7339080
serie landscapes fall us,DSC08189.JPG,gallery,landscapes-fall-us-05.webp,2025-10-23 11:38,3648x4864,6197714
serie landscapes fall us,IMG_0655.JPG,gallery,landscapes-fall-us-06.webp,2025-10-23 13:55,2555x2589,2852108
serie landscapes fall us,IMG_6081_jpg.JPG,gallery,landscapes-fall-us-07.webp,2025-10-23 16:29,3024x4032,4474958
